"lesson_number","lesson_title","source_page","hebrew","transliteration","english_gloss","grammar_and_forms"
"14","שְׁאֵלוֹת (Questions)","51","מָתַי","matay","when?","interrogative"
"14","שְׁאֵלוֹת (Questions)","51","אַי / אַיֵּה / אֵיפֹה","ay / ayye / efo","where?","interrogatives"
"14","שְׁאֵלוֹת (Questions)","51","מֵאַיִן","me'ayin","from where?","interrogative"
"14","שְׁאֵלוֹת (Questions)","51","אָן / אָנָה","an / ana","where? to where?","interrogatives"
"14","שְׁאֵלוֹת (Questions)","51","עֹלָה (עֹלוֹת)","ola (olot)","burnt offering","noun F; plural shown"
"15","Verbs: A Preview","53","דִּבֵּר","dibber","speak","verb Piel"
"15","Verbs: A Preview","53","קִבֵּץ (קֻבַּץ)","qibbets (qubbats)","gather","verb Piel; Pual principal form shown"
"15","Verbs: A Preview","53","שָׁלַח (נִשְׁלַח)","shalach (nishlach)","send","verb Qal; Nifal principal form shown"
"15","Verbs: A Preview","53","עַם (עַמִּים)","am (ammim)","people","noun M; plural shown"
"15","Verbs: A Preview","53","הִשְׁלִיךְ (הֻשְׁלַךְ)","hishlikh (hushlakh)","throw","verb Hifil; Hofal principal form shown"
"15","Verbs: A Preview","53","עָשָׂה (נַעֲשָׂה)","asa (na'asa)","do, make something","verb Qal; Nifal principal form shown"
"15","Verbs: A Preview","53","שָׁמַר (נִשְׁמַר)","shamar (nishmar)","guard","verb Qal; Nifal principal form shown"
"15","Verbs: A Preview","53","אֵת / אֶת־","et / et-","direct-object marker","particle; independent/accent-reduced form shown"
"15","Verbs: A Preview","53","קוֹל (קוֹלוֹת)","qol (qolot)","voice, sound","noun M; plural shown"
"16","קַל Perfect Conjugation: Singular","55","שָׁמַר","shamar","he guarded","Qal Perfect 3ms"
"16","קַל Perfect Conjugation: Singular","55","שָׁמְרָה","shamera","she guarded","Qal Perfect 3fs"
"16","קַל Perfect Conjugation: Singular","55","שָׁמַרְתָּ","shamarta","you guarded","Qal Perfect 2ms"
"16","קַל Perfect Conjugation: Singular","55","שָׁמַרְתְּ","shamart","you guarded","Qal Perfect 2fs"
"16","קַל Perfect Conjugation: Singular","55","שָׁמַרְתִּי","shamarti","I guarded","Qal Perfect 1cs"
"16","קַל Perfect Conjugation: Singular","55","הָיָה / הָיְתָה / הָיִיתָ / הָיִיתְ / הָיִיתִי","haya / hayeta / hayita / hayit / hayiti","was/were","Perfect singular paradigm: 3ms, 3fs, 2ms, 2fs, 1cs"
"16","קַל Perfect Conjugation: Singular","55","דֶּרֶךְ","derekh","way, road","noun M/F"
"16","קַל Perfect Conjugation: Singular","55","קָרָא","qara","call","verb Qal"
"16","קַל Perfect Conjugation: Singular","55","הָלַךְ","halakh","walk, go","verb Qal"
"16","קַל Perfect Conjugation: Singular","55","יָשַׁב","yashav","sit, inhabit","verb Qal"
"16","קַל Perfect Conjugation: Singular","55","שָׁמַע","shama","hear, listen","verb Qal"
"16","קַל Perfect Conjugation: Singular","55","לָקַח","laqach","take, receive","verb Qal"
"17","לְ of Possession: Plural","58","לָהֶם","lahem","they have; theirs; to/for them","לְ + 3mp"
"17","לְ of Possession: Plural","58","לָהֶן","lahen","they have; theirs; to/for them","לְ + 3fp"
"17","לְ of Possession: Plural","58","לָכֶם","lakhem","you have; yours; to/for you","לְ + 2mp"
"17","לְ of Possession: Plural","58","לָכֶן","lakhen","you have; yours; to/for you","לְ + 2fp"
"17","לְ of Possession: Plural","58","לָנוּ","lanu","we have; ours; to/for us","לְ + 1cp"
"17","לְ of Possession: Plural","58","לֶחֶם","lechem","bread","noun M"
"17","לְ of Possession: Plural","58","נָתַן","natan","give, place, set","verb Qal"
"18","Word Order","60","אָכַל","ʾākhal","eat","Q"
"19","קַל Perfect Conjugation: Plural","62","יָדַע","yādaʿ","know","Q"
"19","קַל Perfect Conjugation: Plural","62","עָמַד","ʿāmad","stand","Q"
"20","סְמִיכוּת (Bound Nouns)","64","אֹהֶל","ʾōhel","tent","M"
"21","The Irreal Use of the Perfect Conjugation","66","שָׁבַת","shāvat","rest","Q"
"21","The Irreal Use of the Perfect Conjugation","66","שְׁבִיעִי","sheviʿi","seventh",""
"21","The Irreal Use of the Perfect Conjugation","66","יוֹם","yōm","day","M; plural יָמִים"
"21","The Irreal Use of the Perfect Conjugation","66","שָׁכַח","shākhakh","forget","Q"
"22","Attached Pronouns: Singular","68","מָצָא","mātsaʾ","find","Q"
"22","Attached Pronouns: Singular","68","יָצָא","yātsaʾ","go forth","Q"
"22","Attached Pronouns: Singular","68","מַעֲשֶׂה","maʿaseh","deed, work","M; plural מַעֲשִׂים"
"22","Attached Pronouns: Singular","68","הִנֵּה","hinnēh","behold, see!","INTJ"
"23","קַל Imperfect Conjugation: Singular","71","דָּם","dām","blood","M; plural דָּמִים"
"23","קַל Imperfect Conjugation: Singular","71","דָּרַשׁ","dārash","seek","Q"
"23","קַל Imperfect Conjugation: Singular","71","מָלַךְ","mālakh","reign, become king","Q"
"24","The Infinitive","74","אוֹר","ʾōr","light","M; plural אוֹרִים"
"24","The Infinitive","74","לַיְלָה","laylāh","night","M"
"24","The Infinitive","74","בָּרָא","bārāʾ","create","Q"
"25","The Adverbial Infinitive","77","פָּקַד","pāqad","visit, attend to","Q"
"26","Objects","79","בּוֹא","bōʾ","come, enter","Q"
"26","Objects","79","מִשְׁפָּט","mishpāt","judgment, justice; custom","M"
"26","Objects","79","שָׁפַט","shāphat","judge, govern","Q"
"26","Objects","79","בֵּין","bēn","between","PREP"
"26","Objects","79","צְדָקָה","tsedāqāh","righteousness","F"
"27","קַל Imperfect Conjugation: Plural","81","הָרַג","hārag","kill","Q"
"27","קַל Imperfect Conjugation: Plural","81","כֹּה","kōh","thus, so","ADV"
"27","קַל Imperfect Conjugation: Plural","81","קָבַץ","qāvats","gather","Q"
"28","קַל Imperfect Conjugation of הָיָה","83","שָׁנָה","shānāh","year","F; plural שָׁנִים"
"28","קַל Imperfect Conjugation of הָיָה","83","גַּם","gam","also","ADV"
"28","קַל Imperfect Conjugation of הָיָה","83","רָעָב","rāʿāv","famine","M"
"29","בִּנְיָנִים: פִּעֵל וְהִפְעִיל","85","בֵּרַךְ/בֵּרֵךְ","bērakh/bērēkh","bless","PI"
"29","בִּנְיָנִים: פִּעֵל וְהִפְעִיל","85","הִצְלִיחַ","hitsliakh","make successful, show experience","HI"
"29","בִּנְיָנִים: פִּעֵל וְהִפְעִיל","85","הִשְׁבִּיעַ","hishbiaʿ","cause to swear an oath","HI"
"29","בִּנְיָנִים: פִּעֵל וְהִפְעִיל","85","הִמְלִיךְ","himlikh","make someone king","HI"
"29","בִּנְיָנִים: פִּעֵל וְהִפְעִיל","85","כִּלָּה","killāh","complete, finish","PI"
"29","בִּנְיָנִים: פִּעֵל וְהִפְעִיל","85","הִשְׁחִית","hishkhit","spoil, destroy","HI"
"29","בִּנְיָנִים: פִּעֵל וְהִפְעִיל","85","עֶשֶׂר/עֲשָׂרָה","ʿeser/ʿasarāh","ten","M/F"
"29","בִּנְיָנִים: פִּעֵל וְהִפְעִיל","85","כִּבֵּד","kibbēd","make heavy, honor","PI"
"30","Main and Subordinate Clauses","88","עַתָּה","ʿattāh","now","ADV"
"30","Main and Subordinate Clauses","88","מְאוּמָה","meʾumāh","anything","PRON"
"30","Main and Subordinate Clauses","88","מוּת","mūt","die","Q"
"30","Main and Subordinate Clauses","88","פָּתַח","pātakh","open","Q"
"30","Main and Subordinate Clauses","88","יָרֵא","yārēʾ","afraid","ADJ"
"30","Main and Subordinate Clauses","88","נִסָּה","nissāh","test","PI"
"31","Attached Pronouns: Plural","91","כֹּחַ","kōakh","strength, power","M"
"31","Attached Pronouns: Plural","91","כָּרַת","kārat","cut","Q"
"31","Attached Pronouns: Plural","91","שְׁנַיִם","shenayim","two","M; F שְׁתַּיִם"
"32","Adjectives","93","נָשָׂא","nāsāʾ","lift up, carry","Q"
"32","Adjectives","93","גּוֹי","gōy","nation","M; plural גּוֹיִם"
"32","Adjectives","93","צַדִּיק","tsaddiq","righteous","ADJ"
"32","Adjectives","93","גָּדוֹל","gādōl","great","ADJ"
"32","Adjectives","93","קָטֹן","qātōn","small","ADJ"
"32","Adjectives","93","רַב","rav","many, much","ADJ; plural רַבִּים"
"32","Adjectives","93","יַחְדָּו","yakhdāv","together, altogether","ADV"
"33","Demonstrative Pronouns","96","אַחַר, אַחֲרֵי","ʾakhar, ʾakharē","behind, after","PREP, ADV, CONJ"
"34","סְגֹלֶת Noun Pattern","98","נֶפֶשׁ","nefesh","life, self","F; plural נְפָשׁוֹת"
"34","סְגֹלֶת Noun Pattern","98","זֶרַע","zeraʿ","seed","M; plural זְרָעִים"
"35","Past Narrative Conjugation","100","הִלְבִּישׁ","hilbîš","clothe","Hiphil verb"
"35","Past Narrative Conjugation","100","צִוָּה","ṣiwwâ","command","Piel verb"
"35","Past Narrative Conjugation","100","בֶּגֶד","begeḏ","garment","masculine noun; plural בְּגָדִים"
"36","וַיְהִי","102","מִנְחָה","minḥâ","gift, grain offering","feminine noun"
"36","וַיְהִי","102","הֵבִיא","hēḇîʾ","bring, make enter","Hiphil verb"
"36","וַיְהִי","102","לֵאמֹר","lēʾmōr","not translated; introduces direct speech","complementizer"
"36","וַיְהִי","102","חָרָה","ḥārâ","burn, be kindled","Qal verb"
"36","וַיְהִי","102","אַף","ʾap","nose, face; anger","masculine noun; plural/dual form shown: אַפַּיִם"
"36","וַיְהִי","102","רוּץ","rûṣ","run","Qal verb"
"38","Dynamic and Stative Verbs","106","שָׂמַח/שָׂמֵחַ","śāmaḥ/śāmēaḥ","be glad, rejoice","Qal verb; alternate stative forms printed"
"38","Dynamic and Stative Verbs","106","הָרָה","hārâ","become pregnant, conceive","Qal verb"
"38","Dynamic and Stative Verbs","106","צָחַק","ṣāḥaq","laugh","Qal verb"
"38","Dynamic and Stative Verbs","106","קָדַשׁ/קָדֵשׁ","qādaš/qādēš","be holy","Qal verb; alternate stative forms printed"
"38","Dynamic and Stative Verbs","106","יָרֵא","yārēʾ","be afraid, fear","Qal verb"
"38","Dynamic and Stative Verbs","106","זָקֵן","zāqēn","be old","Qal verb"
"38","Dynamic and Stative Verbs","106","מִצְרַיִם","miṣrayim","Egypt","proper noun"
"39","Jussives and Imperatives","109","בָּרַח","bāraḥ","flee","Qal verb"
"39","Jussives and Imperatives","109","שָׁפַךְ","šāpaḵ","pour out, shed (blood)","Qal verb"
"40","Attached Pronouns with Verbs","112","מַלְאָךְ","malʾāḵ","messenger, angel","masculine noun"
"40","Attached Pronouns with Verbs","112","עַיִן, עֵין","ʿayin, ʿên","eye; spring","feminine noun; irregular/bound form pair printed"
"42","Participles","116","אֵל","ʾēl","god, God, mighty one","masculine noun"
"42","Participles","116","הִבְדִּיל","hiḇdîl","divide, separate","Hiphil verb"
"42","Participles","116","נָפַל","nāpal","fall","Qal verb"
"42","Participles","116","נִרְאָה","nirʾâ","show oneself, appear","Niphal verb"
"42","Participles","116","פֶּתַח","petaḥ","opening","masculine noun"
"45","Numerals","125","מְלָאכָה","mᵉlāʾḵâ","work","feminine noun"
"45","Numerals","125","נִקְרָא","niqrāʾ","be called, named","Niphal verb"
"45","Numerals","125","שְׁנֵים עָשָׂר","šᵉnêm ʿāśār","twelve","numeral; masculine form printed"
"45","Numerals","125","שַׁבָּת","šabbāṯ","sabbath, rest","feminine noun"
"49","Case Relations","134","אָסַף","ʾāsap","gather, remove","Qal verb"
"49","Case Relations","134","גָּוַע","gāwaʿ","pass away, perish","Qal verb"
"49","Case Relations","134","קָבַר","qāḇar","bury","Qal verb"
"49","Case Relations","134","נֶאֱסַף","neʾĕsap","be gathered","Niphal verb"
"49","Case Relations","134","בֹּרַךְ","bōraḵ","be blessed","Pual verb"
"49","Case Relations","134","נִקְבַּר","niqbar","be buried","Niphal verb"
